,model_name,loss,acc,recall,precision,f1,std
0,test_epoch14.pt,5.2878762986049175,97.21074380165288,97.21074380165288,100.0,98.58564693556836,
1,test_epoch19.pt,5.193597328564352,95.55785123966942,95.55785123966942,100.0,97.72847332276808,
2,test_epoch24.pt,5.043967042087523,97.89944903581267,97.89944903581267,100.0,98.93857664868627,
3,test_epoch29.pt,4.896339375782276,94.21487603305785,94.21487603305785,100.0,97.0212765957447,
4,test_epoch34.pt,4.962283514091134,95.31680440771349,95.31680440771349,100.0,97.60225669957686,
5,test_epoch39.pt,5.234226616946134,95.90220385674931,95.90220385674931,100.0,97.90824397960976,
6,test_epoch4.pt,4.965969080438955,98.7603305785124,98.7603305785124,100.0,99.37629937629939,
7,test_epoch44.pt,5.038870006224998,97.8305785123967,97.8305785123967,100.0,98.90339425587469,
8,test_epoch49.pt,5.240433904421888,96.69421487603306,96.69421487603306,100.0,98.31932773109243,
9,test_epoch54.pt,5.704519525375576,96.03994490358126,96.03994490358126,100.0,97.97997540839629,
10,test_epoch59.pt,5.522066887416787,97.38292011019284,97.38292011019284,100.0,98.67411025819959,
11,test_epoch64.pt,5.810791864211238,98.17493112947659,98.17493112947659,100.0,99.07906168549088,
12,test_epoch69.pt,5.475431542094417,94.80027548209367,94.80027548209367,100.0,97.33074067526958,
13,test_epoch74.pt,5.159801961305056,92.69972451790633,92.69972451790633,100.0,96.21157969978556,
14,test_epoch79.pt,5.0641041984242845,92.35537190082644,92.35537190082644,100.0,96.02577873254563,
15,test_epoch84.pt,4.913621786868934,91.59779614325069,91.59779614325069,100.0,95.61466570812365,
16,test_epoch89.pt,5.083329701226605,95.35123966942149,95.35123966942149,100.0,97.62030671602328,
17,test_epoch9.pt,5.246647939865911,98.20936639118457,98.20936639118457,100.0,99.09659485753994,
18,test_epoch94.pt,5.408062599907237,94.31818181818183,94.31818181818183,100.0,97.07602339181285,
19,test_epoch99.pt,5.468383338497362,93.38842975206612,93.38842975206612,100.0,96.58119658119658,
